,Category,calories,total_fat,fiber,protein,carbohydrate,sugars
Arugula,Vegetables,25,0.7,1.6,2.58,3.65,2.05
Bamboo shoots,Vegetables,27,0.3,2.2,2.6,5.2,3.0
Lettuce,Vegetables,15,0.2,1.3,1.36,2.87,0.78
Cabbage,Vegetables,25,0.1,2.5,1.28,5.8,3.2
Cauliflower,Vegetables,25,0.3,2.0,1.92,4.97,1.91
Leeks,Vegetables,61,0.3,1.8,1.5,14.15,3.9
Broccoli,Vegetables,34,0.4,2.6,2.82,6.64,1.7
Eggplant,Vegetables,25,0.2,3.0,0.98,5.88,3.53
Brussels sprouts,Vegetables,43,0.3,3.8,3.38,8.95,2.2
Asparagus,Vegetables,20,0.1,2.1,2.2,3.88,1.88
Onions,Vegetables,40,0.1,1.7,1.1,9.34,4.24
Sweet Onions,Vegetables,32,0.1,0.9,0.8,7.55,5.02
Garlic,Vegetables,149,0.5,2.1,6.36,33.06,1.0
Jalapeno Peppers,Vegetables,29,0.4,2.8,0.91,6.5,4.12
Spinach,Vegetables,23,0.4,2.2,2.86,3.63,0.42
Carrots,Vegetables,41,0.2,2.8,0.93,9.58,4.74
Green Peas,Vegetables,81,0.4,5.7,5.42,14.45,5.67
Ginger root,Vegetables,80,0.8,2.0,1.82,17.77,1.7
Corn,Vegetables,86,1.4,2.0,3.27,18.7,6.26
Pumpkin,Vegetables,26,0.1,0.5,1.0,6.5,2.76
Mushrooms,Vegetables,22,0.3,1.0,3.09,3.26,1.98
